N°Obs,"En moyenne, à quelle fréquence achetez-vous des vêtements ?",Où achetez-vous le plus souvent ? (choix multiples),Quel est le cycle de vie moyen d’un vêtement dans votre garde-robe avant que vous ne vous en sépariez ?,Que faites-vous le plus souvent des vêtements dont vous souhaitez vous séparer ? (choix multiples),"Après avoir acheté des vêtements, à quelle fréquence finissent-ils par ne jamais être portés ?",Jusqu’à quel point les tendances actuelles influencent-elles vos décisions d’achat ?,A quelle fréquence achetez-vous un vêtement uniquement parce qu'il est tendance ?,Avez-vous déjà ressenti une pression sociale liée à la mode ?,Avez-vous déjà évité de porter un vêtement parce qu’il n’était “plus à la mode” ?,Dans quelle mesure vos vêtements contribuent-ils à votre confiance en vous ?,Pensez-vous que bien s’habiller aide dans la vie sociale ?,"Jusqu’à quel point les réseaux sociaux (influenceurs, célébrités) dictent-ils vos choix vestimentaires ?",Je publie parfois des photos de mes achats “tendance” pour les partager avec mes amis et ma famille.,Avez-vous déjà ressenti un sentiment de culpabilité après avoir acheté un article tendance vu sur les réseaux sociaux ?,Avez-vous déjà remarqué une différence dans la manière dont vous êtes perçu(e) lorsque vous ne suivez pas une tendance ?,Avez-vous déjà acheté certains de ces articles ? (choix multiples),Connaissez-vous le concept de “fast fashion” ?,"“La fast fashion, ou « mode rapide », est une façon de produire et vendre des vêtements très vite, en suivant les dernières tendances, à des prix très bas.” __Avez-vous déjà consommé sur des plateformes de fast fashion (Shein, Temu, etc.) ?","Dans quelle mesure les considérations éthiques (conditions de travail)/environnementales (pollution, matériaux)  affectent-elles vos achats ?","Si un vêtement éthique (bio, local, éco-responsable) coûtait 20 % plus cher, dans quelle mesure seriez-vous prêt(e) à l’acheter ?",Pour quelles raisons achetez-vous des vêtements de marques considérées comme fast fashion ? (Choix multiples),Quel est votre âge ?,Êtes-vous :,"Selon vous, la mode est-elle davantage un outil d'expression personnelle ou un moyen de se conformer aux attentes sociales?",Quelle est votre situation professionnelle ?,(Quelle est votre situation professionnelle ?) Précisez :,"(Quand vous achetez un produit, à quel point chacune des caractéristiques suivantes est-elle importante pour vous ?) Prix","(Quand vous achetez un produit, à quel point chacune des caractéristiques suivantes est-elle importante pour vous ? ) Qualité","(Quand vous achetez un produit, à quel point chacune des caractéristiques suivantes est-elle importante pour vous ? ) Marque","(Quand vous achetez un produit, à quel point chacune des caractéristiques suivantes est-elle importante pour vous ? ) Mode / tendances","(Quand vous achetez un produit, à quel point chacune des caractéristiques suivantes est-elle importante pour vous ? ) Confort","Bonjour,_Ce questionnaire porte sur la mode et son influence dans la vie _quotidienne._Il est anonyme et confidentiel, il ne vous _prendra que quelques minutes._Merci d'avance pour votre participation  !",Clé,Date de saisie,Date de dernier enregistrement,Date de dernière modification,Temps de saisie,Origine,Langue,Appareil utilisé pour la saisie,Progression,Dernière question saisie,
1,Tous les 4 à 6 mois,Magasin physique;Internet,1 à 5 ans,Je les donne,Je porte presque toujours mes achats,10,Souvent,Souvent,Parfois,10,Beaucoup,10,10,7,8,Pantalon cargo;Campus;Samba,Oui,Oui,5,3,Beaucoup d’options;Abordables;Facilité d’achat;Mode actuelle;Par réseaux sociaux/Publicité,29,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,10,8,9,10,6,,BWV5-5B27,16/10/2025 12:44:20,16/10/2025 12:47:39,,"199,197181",direct,FR,Smartphone,Terminé,,
2,Au moins une fois par mois,Magasin physique,Plus de 5 ans,Je les garde sans les utiliser,Je porte presque toujours mes achats,5,Rarement,Jamais,Jamais,8,Assez,1,1,,6,Pantalon cargo,Non,"Non, mais je connais ces plateformes",1,1,Abordables,27,Un homme,C'est un outil d'expression personnelle,Fonctionnaire,,8,6,9,5,10,,UQH7-X599,16/10/2025 14:46:28,16/10/2025 14:54:20,,"472,510031",direct,FR,Smartphone,Terminé,,
3,Tous les 4 à 6 mois,Magasin physique,Plus de 5 ans,Je les donne;Je les vends;Je les jette;Je les recycle;Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,9,Parfois,Souvent,Parfois,9,Beaucoup,8,2,10,6,Pantalon cargo;Campus;Sonny Angel;Tote bag,Oui,Oui,10,7,Abordables;Facilité d’achat,19,Une femme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,4,7,3,5,6,,D7Y9-26XV,17/10/2025 09:50:17,17/10/2025 09:56:12,,"355,129002",direct,FR,PC,Terminé,,
4,Tous les 2 à 3 mois,Magasin physique;Internet,1 à 5 ans,Je les garde sans les utiliser,Je porte presque toujours mes achats,4,Rarement,Rarement,Parfois,7,Assez,2,1,1,2,Aucun,Oui,"Non, mais je connais ces plateformes",7,8,Facilité d’achat,41,Un homme,C'est un outil d'expression personnelle,Cadre,,7,8,9,5,7,,ATG3-LRDB,17/10/2025 09:58:24,17/10/2025 10:02:58,,"274,640368",direct,FR,PC,Terminé,,
5,Au moins une fois par semaine,Magasin physique,Moins de 6 mois,Je les vends,Certains vêtements restent parfois inutilisés,3,Rarement,Jamais,Jamais,10,Beaucoup,1,1,,4,Pantalon cargo;Campus;Sonny Angel;Samba,Oui,Oui,3,4,Mode actuelle,17,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,10,10,10,10,10,,DCJ8-AEVH,17/10/2025 10:04:11,17/10/2025 10:07:50,,"218,682397",direct,FR,Smartphone,Terminé,,
6,Tous les 4 à 6 mois,Magasin physique;Friperie / Seconde main,Plus de 5 ans,Je les donne;Je les vends,Je porte presque toujours mes achats,3,Rarement,Jamais,Jamais,9,Beaucoup,4,1,,1,Pantalon cargo;Tote bag,Oui,Oui,5,9,Abordables,24,Une femme,C'est un outil d'expression personnelle,Sans emploi actuellement,,7,6,7,4,3,,MTWP-4CWA,17/10/2025 10:05:32,17/10/2025 10:09:16,,"223,848486",direct,FR,Smartphone,Terminé,,
7,Au moins une fois par mois,Magasin physique;Internet,1 à 5 ans,Je les donne;Je les vends,Je porte presque toujours mes achats,5,Rarement,Parfois,Rarement,6,Assez,5,3,3,10,Pantalon cargo;Sonny Angel,Oui,Oui,4,5,Abordables;Facilité d’achat,19,Une femme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,5,5,5,5,3,,GR7Q-EQMX,17/10/2025 10:07:43,17/10/2025 10:12:38,,"294,527079",direct,FR,Smartphone,Terminé,,
8,Tous les 4 à 6 mois,Magasin physique;Friperie / Seconde main,1 à 5 ans,Je les donne;Je les jette;Je les recycle;Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,2,Jamais,Jamais,Jamais,7,Assez,3,3,,2,Aucun,Oui,"Non, mais je connais ces plateformes",9,6,Facilité d’achat,17,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,6,8,4,3,10,,6YR3-7XT6,17/10/2025 10:07:24,17/10/2025 10:14:37,,"433,142065",direct,FR,Smartphone,Terminé,,
9,Au moins une fois par mois,Magasin physique;Internet,1 à 5 ans,Je les donne;Je les vends,Certains vêtements restent parfois inutilisés,7,Parfois,Parfois,Parfois,7,Beaucoup,5,2,4,2,Pantalon cargo;Sonny Angel,Oui,Oui,8,7,Facilité d’achat,18,Une femme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,5,9,5,7,10,,XCPK-GX8D,17/10/2025 10:06:46,17/10/2025 10:16:10,,"563,788682",direct,FR,Smartphone,Terminé,,
10,Tous les 4 à 6 mois,Magasin physique;Internet,1 à 5 ans,Je les vends,Certains vêtements restent parfois inutilisés,2,Jamais,Rarement,Parfois,10,Assez,1,1,1,5,Pantalon cargo;Tote bag,J’en ai entendu parler sans bien savoir,Oui,4,7,Facilité d’achat,19,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,9,7,3,2,9,,H23W-W564,17/10/2025 10:06:22,17/10/2025 10:16:19,,"596,871237",direct,FR,Smartphone,Terminé,,
